NUM_ANP,ID_ANP,ID_DOF,NOMBRE,CAT_MANEJO,ESTADOS,REGION,SUPERFICIE,S_TERRES,S_MARINA,PRIM_DEC,ULT_DOF,PM,CERT_SINAP
171,ANP00108171,1.8.01.171,Ventilas Hidrotermales de la Cuenca de Guaymas y de la Dorsal del Pacífico Oriental,SANT,Localizadas en el Golfo de California y en el Pacífico Norte,Península de Baja California y Pacífico Norte,145564.80840000001,0.00000000000,145564.80840000001,2009/06/05,2009/06/05,2014/02/21,SINAP 063
6,ANP00503006,5.3.02.006,Volcán Nevado de Colima,PN,Jalisco y Colima,Occidente y Pacífico Centro,6554.75000000000,6554.75000000000,0.00000000000,1936/09/05,1940/12/06,2009/12/14,
155,ANP00801155,8.1.07.155,Volcán Tacaná,RB,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",6378.36958600000,6378.36958600000,0.00000000000,2003/01/28,2003/01/28,2012/11/22,SINAP 070
22,ANP00603022,6.3.13.022,Xicoténcatl,PN,Tlaxcala,Centro y Eje Neovolcánico,851.30340500000,851.30340500000,0.00000000000,1937/11/17,1937/11/17,,
140,ANP00804140,8.4.03.140,Yagul,MN,Oaxaca,"Frontera Sur, Istmo y Pacífico Sur",1076.06386000000,1076.06386000000,0.00000000000,1999/05/24,1999/05/24,2007/11/27,
107,ANP00804107,8.4.02.107,Yaxchilán,MN,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",2621.25230000000,2621.25230000000,0.00000000000,1992/08/21,1992/08/21,2010/07/08,
115,ANP00907115,9.7.01.115,Yum Balam,APFF,Quintana Roo,Península de Yucatán y Caribe Mexicano,154052.25000000000,52307.61811000000,101744.63189999999,1994/06/06,1994/06/06,2018/10/05,SINAP 014
164,ANP00501164,5.1.04.164,Zicuirán-Infiernillo,RB,Michoacán,Occidente y Pacífico Centro,265117.78159999999,265117.78159999999,0.00000000000,2007/11/30,2007/11/30,2013/11/06,SINAP 075
58,ANP00806058,8.6.01.058,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",APRN,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",177546.17030000000,177546.17030000000,0.00000000000,1979/03/20,2007/11/27,2019/04/24,
32,ANP00706032,7.6.01.032,Z.P.F.V. la Cuenca Hidrográfica del Río Necaxa,APRN,Hidalgo y Puebla,Planicie Costera y Golfo de México,42129.35320000000,42129.35320000000,0.00000000000,1938/10/20,2002/09/09,,
3,ANP00607003,6.7.01.003,Nevado de Toluca,APFF,Estado de México,Centro y Eje Neovolcánico,53590.67863000000,53590.67863000000,0.00000000000,1936/01/25,2013/10/01,2016/10/21,
130,ANP00601130,6.1.01.130,Sierra Gorda,RB,Querétaro,Centro y Eje Neovolcánico,383567.44880000001,383567.44880000001,0.00000000000,1997/05/19,1997/05/19,2000/05/08,SINAP 022
143,ANP00601143,6.1.04.143,Mariposa Monarca,RB,Michoacán y Estado de México,Centro y Eje Neovolcánico,56259.05073000000,56259.05073000000,0.00000000000,2000/11/10,2009/11/03,2001/04/30,SINAP 036
41,ANP00603041,6.3.20.041,Bosencheve,PN,Estado de México y Michoacán,Centro y Eje Neovolcánico,14599.61686000000,14599.61686000000,0.00000000000,1940/08/01,1940/08/01,,
132,ANP00901132,9.1.04.132,Arrecifes de Sian Ka'an,RB,Quintana Roo,Península de Yucatán y Caribe Mexicano,34927.15840000000,1361.00163300000,33566.15677000000,1998/02/02,1998/02/02,2011/06/13,SINAP 015
124,ANP00103124,1.3.03.124,Cabo Pulmo,PN,Baja California Sur,Península de Baja California y Pacífico Norte,7111.01000000000,38.85784200000,7072.15215800000,1995/06/06,2000/06/07,2009/11/13,SINAP 051
117,ANP00903117,9.3.03.117,Arrecife Alacranes,PN,Yucatán,Península de Yucatán y Caribe Mexicano,333768.50500000000,53.00175600000,333715.50319999998,1994/06/06,2000/06/07,2007/11/29,SINAP 049
129,ANP00103129,1.3.04.129,Bahía de Loreto,PN,Baja California Sur,Península de Baja California y Pacífico Norte,206580.75000000000,21692.07876000000,184888.67120000001,1996/07/19,2000/06/07,2019/04/23,SINAP 007
167,ANP00807167,8.7.05.167,Boquerón de Tonalá,APFF,Oaxaca,"Frontera Sur, Istmo y Pacífico Sur",3912.31581200000,3912.31581200000,0.00000000000,2008/09/22,2008/09/22,2013/04/03,
55,ANP00107055,1.7.01.055,Cabo San Lucas,APFF,Baja California Sur,Península de Baja California y Pacífico Norte,3996.04913600000,208.05350000000,3787.99563600000,1973/11/29,2000/06/07,,
120,ANP00407120,4.7.05.120,Cuatrociénegas,APFF,Coahuila,Noreste y Sierra Madre Oriental,84347.47000000000,84347.47000000000,0.00000000000,1994/11/07,1994/11/07,2000/03/24,SINAP 018
144,ANP00403144,4.3.05.144,Cumbres de Monterrey,PN,Nuevo León,Noreste y Sierra Madre Oriental,177395.95460000000,177395.95460000000,0.00000000000,2000/11/17,2000/11/17,2023/01/03,
74,ANP00603074,6.3.25.074,El Chico,PN,Hidalgo,Centro y Eje Neovolcánico,2739.02630000000,2739.02630000000,0.00000000000,1982/07/06,1982/07/06,2009/08/27,
8,ANP00403008,4.3.01.008,El Potosí,PN,San Luis Potosí,Noreste y Sierra Madre Oriental,2000.00000000000,2000.00000000000,0.00000000000,1936/09/15,1936/09/15,2015/10/29,
102,ANP00801102,8.1.03.102,El Triunfo,RB,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",119177.28999999999,119177.28999999999,0.00000000000,1990/03/13,1990/06/15,2000/09/15,SINAP 016
147,ANP00501147,5.1.03.147,Islas Marías,RB,Nayarit,Occidente y Pacífico Centro,641284.73739999998,24295.16619000000,616989.57120000001,2000/11/27,2000/11/27,2022/08/05,
159,ANP00503159,5.3.08.159,Islas Marietas,PN,Nayarit,Occidente y Pacífico Centro,1383.01969500000,71.16326800000,1311.85642700000,2005/04/25,2005/04/25,2011/02/25,
122,ANP00801122,8.1.05.122,La Encrucijada,RB,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",144868.15880000000,115652.73410000000,29215.42463000000,1995/06/06,1995/06/06,2000/09/13,SINAP 013
123,ANP00801123,8.1.06.123,La Sepultura,RB,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",167309.86249999999,167309.86249999999,0.00000000000,1995/06/06,1995/06/06,2000/09/15,SINAP 017
116,ANP00707116,7.7.01.116,Laguna de Términos,APFF,Campeche,Planicie Costera y Golfo de México,706147.67000000004,547278.70510000002,158868.96489999999,1994/06/06,1994/06/06,1997/06/04,SINAP 077
156,ANP00707156,7.7.02.156,Laguna Madre y Delta del Río Bravo,APFF,Tamaulipas,Planicie Costera y Golfo de México,572808.60939999996,572808.60939999996,0.00000000000,2005/04/14,2005/04/14,2015/07/09,SINAP 056
148,ANP00901148,9.1.07.148,Ría Celestún,RB,Yucatán y Campeche,Península de Yucatán y Caribe Mexicano,81482.33446000000,61926.57419000000,19555.76027000000,2000/11/27,2000/11/27,2002/11/22,SINAP 035
141,ANP00901141,9.1.06.141,Los Petenes,RB,Campeche,Península de Yucatán y Caribe Mexicano,282857.62709999998,100866.52520000000,181991.10190000001,1999/05/24,1999/05/24,2009/04/22,SINAP 042
137,ANP00807137,8.7.04.137,Metzabok,APFF,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",3368.35875000000,3368.35875000000,0.00000000000,1998/09/23,1998/09/23,2009/01/06,
149,ANP00601149,6.1.05.149,Barranca de Metztitlán,RB,Hidalgo,Centro y Eje Neovolcánico,96042.94702000001,96042.94702000001,0.00000000000,2000/11/27,2000/11/27,2003/03/11,SINAP 040
104,ANP00701104,7.1.01.104,Pantanos de Centla,RB,Tabasco,Planicie Costera y Golfo de México,302706.62500000000,302706.62500000000,0.00000000000,1992/08/06,1992/08/06,2000/09/26,SINAP 010
77,ANP00801077,8.1.02.077,Selva El Ocote,RB,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",101288.15130000000,101288.15130000000,0.00000000000,1982/10/20,2000/11/27,2001/12/19,SINAP 037
78,ANP00901078,9.1.01.078,Sian Ka'an,RB,Quintana Roo,Península de Yucatán y Caribe Mexicano,528147.66799999995,375011.87000000000,153135.79800000001,1986/01/20,2000/06/07,2015/01/23,SINAP 002
96,ANP00501096,5.1.01.096,Sierra de Manantlán,RB,Jalisco y Colima,Occidente y Pacífico Centro,139577.12500000000,139577.12500000000,0.00000000000,1987/03/23,1987/03/23,2007/11/17,SINAP 019
135,ANP00601135,6.1.02.135,Tehuacán-Cuicatlán,RB,Puebla y Oaxaca,Centro y Eje Neovolcánico,490186.87550000002,490186.87550000002,0.00000000000,1998/09/18,1998/09/18,2012/06/08,SINAP 020
121,ANP00907121,9.7.02.121,Uaymil,APFF,Quintana Roo,Península de Yucatán y Caribe Mexicano,89118.15355000000,89118.15355000000,0.00000000000,1994/11/17,1994/11/23,2011/05/03,SINAP 028
43,ANP00606043,6.6.01.043,"Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec",APRN,Estado de México,Centro y Eje Neovolcánico,140234.42619999999,140234.42619999999,0.00000000000,1941/11/15,2005/06/23,2018/11/30,SINAP 076
150,ANP00903150,9.3.08.150,Arrecifes de Xcalak,PN,Quintana Roo,Península de Yucatán y Caribe Mexicano,17949.45620000000,4521.83853400000,13427.61767000000,2000/11/27,2000/11/27,2004/10/08,SINAP 045
128,ANP00903128,9.3.05.128,Arrecifes de Cozumel,PN,Quintana Roo,Península de Yucatán y Caribe Mexicano,11987.87500000000,82.27891600000,11905.59608000000,1996/07/19,2000/06/07,1998/10/02,SINAP 046
126,ANP00901126,9.1.03.126,Banco Chinchorro,RB,Quintana Roo,Península de Yucatán y Caribe Mexicano,144360.00000000000,585.78692800000,143774.21309999999,1996/07/19,1996/07/19,2000/09/25,SINAP 033
176,ANP00907176,9.7.06.176,"La porción norte y la franja costera oriental, terrestres y marinas de la Isla de Cozumel",APFF,Quintana Roo,Península de Yucatán y Caribe Mexicano,37829.17005000000,5733.20903800000,32095.96102000000,2012/09/25,2012/09/25,2015/10/29,SINAP 064
133,ANP00903133,9.3.07.133,Arrecife de Puerto Morelos,PN,Quintana Roo,Península de Yucatán y Caribe Mexicano,9066.63110000000,37.74364400000,9028.88745600000,1998/02/02,1998/02/02,2000/09/18,SINAP 044
54,ANP00101054,1.1.01.054,Complejo Lagunar Ojo de Liebre,RB,Baja California y Baja California Sur,Península de Baja California y Pacífico Norte,79328.97663000000,79328.97663000000,0.00000000000,1972/01/14,2000/06/07,2016/08/08,SINAP 038
109,ANP00703109,7.3.04.109,Sistema Arrecifal Veracruzano,PN,Veracruz,Planicie Costera y Golfo de México,65516.47081000000,12.24080500000,65504.23000000000,1992/08/24,2012/11/29,2017/05/22,SINAP 050
178,ANP00307178,3.7.05.178,Cerro Mohinora,APFF,Chihuahua,Norte y Sierra Madre Occidental,9126.35686900000,9126.35686900000,0.00000000000,2015/07/10,2015/07/10,2017/05/22,
64,ANP00603064,6.3.23.064,El Veladero,PN,Guerrero,Centro y Eje Neovolcánico,3617.41303000000,3617.41303000000,0.00000000000,1980/07/17,2000/11/29,,
97,ANP00903097,9.3.02.097,Dzibilchantún,PN,Yucatán,Península de Yucatán y Caribe Mexicano,539.43926800000,539.43926800000,0.00000000000,1987/04/14,1987/04/14,2015/10/29,
162,ANP00103162,1.3.06.162,Zona marina del Archipiélago de Espíritu Santo,PN,Se ubica en el Golfo de California,Península de Baja California y Pacífico Norte,48654.83104000000,0.00000000000,48654.83104000000,2007/05/10,2007/05/10,2015/01/19,SINAP 072
179,ANP00101179,1.1.06.179,Islas del Pacífico de la Península de Baja California,RB,Baja California y Baja California Sur,Península de Baja California y Pacífico Norte,1161222.97900000005,70139.62398999999,1091083.35499999998,2016/12/07,2016/12/07,,
180,ANP00701180,7.1.03.180,Sierra de Tamaulipas,RB,Tamaulipas,Planicie Costera y Golfo de México,308888.21820000000,308888.21820000000,0.00000000000,2016/12/07,2016/12/07,,
181,ANP00901181,9.1.09.181,Caribe Mexicano,RB,Quintana Roo,Península de Yucatán y Caribe Mexicano,5754055.36299999990,28589.49741000000,5725465.86600000039,2016/12/07,2016/12/07,2018/11/30,
76,ANP00507076,5.7.04.076,Sierra de Quila,APFF,Jalisco,Occidente y Pacífico Centro,15192.50000000000,15192.50000000000,0.00000000000,1982/08/04,2000/06/07,,
38,ANP00207038,2.7.01.038,Bavispe,APFF,Sonora,Noroeste y Alto Golfo de California,200900.66000000000,200900.66000000000,0.00000000000,1939/09/09,2017/05/22,,
182,ANP85101182,8.1.08.182,Pacífico Mexicano Profundo,RB,Se ubica en el Océano Pacífico,"Península de Baja California y Pacífico Norte, Occidente y Pacífico Centro y Frontera Sur, Istmo y Pacífico Sur,",43614120.18999999762,0.00000000000,43614120.18999999762,2016/12/07,2016/12/07,2018/06/05,
183,ANP00103183,1.3.07.183,Revillagigedo,PN,Se ubica en el Océano Pacífico,Península de Baja California y Pacífico Norte,14808780.11999999918,15518.22153000000,14793261.90000000037,2017/11/27,2017/11/27,2018/11/30,SINAP 069
57,ANP02107057,2.7.02.057,Islas del Golfo de California,APFF,"B.C., B.C.S., Sonora y Sinaloa","Península de Baja California y Pacífico Norte; Noroeste y Alto Golfo de California",374553.63110000000,374553.63110000000,0.00000000000,1978/08/02,2000/06/07,2001/04/17,
68,ANP00407068,4.7.01.068,Sierra de Álvarez,APFF,San Luis Potosí,Noreste y Sierra Madre Oriental,16900.00000000000,16900.00000000000,0.00000000000,1981/04/07,2000/06/07,,
138,ANP00701138,7.1.02.138,Los Tuxtlas,RB,Veracruz,Planicie Costera y Golfo de México,155122.46900000001,155122.46900000001,0.00000000000,1998/11/23,1998/11/23,2009/11/27,SINAP 003
172,ANP00307172,3.7.04.172,Médanos de Samalayuca,APFF,Chihuahua,Norte y Sierra Madre Occidental,56134.38021000000,56134.38021000000,0.00000000000,2009/06/05,2009/06/05,2013/04/02,
62,ANP00807062,8.7.01.062,Cascada de Agua Azul,APFF,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",2580.00000000000,2580.00000000000,0.00000000000,1980/04/29,2000/06/07,2017/05/22,
184,ANP00407184,4.7.07.184,Sierra de San Miguelito,APFF,San Luis Potosí,Noreste y Sierra Madre Oriental,111160.44280000000,111160.44280000000,0.00000000000,2021/12/13,2021/12/13,2024/06/28,
10,ANP00403010,4.3.02.010,Gogorrón,PN,San Luis Potosí,Noreste y Sierra Madre Oriental,36499.66000000001,36499.66000000001,0.00000000000,1936/09/22,1936/09/22,2016/08/08,
